Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-26,134.84572080199013,135.43858556926827,131.54547745451265,132.66201782226562,8336000,0.0,0
2022-01-27,132.0691647317324,133.1461877899524,130.50796829012884,130.94273376464844,5497300,0.0,0
2022-01-28,131.60474895194974,132.92879639103745,130.22140297978305,132.89915466308594,5471500,0.0,0
2022-01-31,132.49403990552307,132.49403990552307,130.72535135036884,131.98023986816406,5859000,0.0,0
2022-02-01,132.16796321564667,134.34179055112864,130.9229653502879,133.91690063476562,6206400,0.0,0
2022-02-02,134.08486993805266,135.92273246961048,133.65010448886193,135.61642456054688,5357200,0.0,0
2022-02-03,135.36940633807887,137.10845313770415,134.21333365525575,136.14012145996094,6100800,0.0,0
2022-02-04,136.21916472180098,137.1677452535821,134.598684916106,135.51760864257812,4140200,0.0,0
2022-02-07,135.8140442258805,136.17965067682746,134.64809601916562,135.60655212402344,3759000,0.0,0
2022-02-08,135.59666752612307,135.88322435385612,134.163928618989,135.38917541503906,4181800,0.0,0
2022-02-09,136.1994018036137,136.70334134828585,135.20142841917755,136.14999389648438,5393500,0.0,0
2022-02-10,135.47000122070312,136.55999755859375,133.1699981689453,133.52000427246094,5978600,1.64,0
2022-02-11,133.89999389648438,134.7100067138672,132.3800048828125,132.69000244140625,4175600,0.0,0
2022-02-14,132.58999633789062,132.64999389648438,129.07000732421875,130.14999389648438,5345300,0.0,0
2022-02-15,130.63999938964844,131.67999267578125,129.61000061035156,129.94000244140625,4395700,0.0,0
2022-02-16,129.4499969482422,130.44000244140625,128.25999450683594,129.17999267578125,4875600,0.0,0
2022-02-17,128.0500030517578,128.5,124.8499984741211,124.97000122070312,6797000,0.0,0
2022-02-18,124.94000244140625,125.44000244140625,123.61000061035156,124.3499984741211,4607600,0.0,0
2022-02-22,124.19999694824219,125.0,122.68000030517578,123.91999816894531,5349700,0.0,0
2022-02-23,124.37999725341797,124.69999694824219,121.87000274658203,122.06999969482422,4086400,0.0,0
2022-02-24,120.0,122.0999984741211,118.80999755859375,121.97000122070312,6563200,0.0,0
2022-02-25,122.05000305175781,124.26000213623047,121.44999694824219,124.18000030517578,4460200,0.0,0
