,date,song_name,url,lyric
10,2021-03,Somebody,https://mojim.com//twy107945x52x10.htm,"Every time I wake up next to you, I talk to GodAnd I'm so damn grateful 'cause you make up for the things I'm notDidn't know I needed nothin' 'til I needed you ('Til I needed you)In a world that's spinnin', it ain't easy lettin' goEight billion people, we just lookin' for a hand to holdEverybody's tryna find someone to hold on to (Hold on to)It's okay, it's okayWe all try to pretend that we're braveWhen I'm weak, yeah, I'm strong'Cause of you at the end of the dayEverybody needs somebody (Everybody needs somebody)Somebody to remind you that you're not aloneWho gon' defend you likе an army (Gon' defend you like an army)And nеver let go (Never let go)Yeah, everybody needs somebody (Everybody needs somebody)Somebody to wake up to when everyone's goneSo if you need me, then you got me (If you need me, then you got me)I'll be the shoulder you cry onEverybody needs some-Everybody needs somebodyEvery time I look at you, I'm lookin' at a star It's the way you light up every room just bein' who you areDidn't know I needed nothin' 'til I needed you ('Til I needed you, oh woah)Look, before I met you, I never believed in magicBut you stole my heart before anyone knew you had itI know (Yeah, yeah) that you know (Yeah, yeah)What we got, it don't come easyIt's okay, it's okayWe all try to pretend that we're braveWhen I'm weak, yeah, I'm strong'Cause of you at the end of the dayEverybody needs somebody (Everybody needs somebody)Somebody to remind you that you're not aloneWho gon' defend you like an army (Gon' defend you like an army)And never let go (Never let go)Yeah, everybody needs somebody (Everybody needs somebody)Somebody to wake up to when everyone's goneSo if you need me, then you got me (If you need me, then you got me)I'll be the shoulder you cry onEverybody needs some-Everybody needs somebody
"
11,2021-03,Ghost,https://mojim.com//twy107945x52x11.htm,"Youngblood thinks there's always tomorrowI miss your touch on nights when I'm hollowI know you crossed a bridge that I can't followSince the love that you left is all that I getI want you to know that if I can't get close to youI settle for the ghost of youI miss you more than life (More than life)And If you can't be next to meYour memory is ecstasyI miss you more than lifeI miss you more than lifeYoungblood thinks there's always tomorrow (Woo)I need more time but time can't be borrowedI leave it all behind if I could followSince the love that you left is all that I getI want you to know that if I can't get close to youI'll settle for the ghost of you I miss you more than life, yeahAnd If you can't be next to meYour memory is ecstasyI miss you more than lifeI miss you more than lifeWhoa, oh, oh-ohMore than lifeOh-ohSo if I can't get close to youI settle for the ghost of youI miss you more than lifeAnd If you can't be next to meYour memory is ecstasyI miss you more than lifeI miss you more than life
"
12,2021-03,Peaches,https://mojim.com//twy107945x52x12.htm,"feat. Daniel Caesar and GiveonI got my peaches out in Georgia (Oh, yeah, shit)I get my weed from California (That's that shit)I took my chick up to the North, yeah (Badass bitch)I get my light right from the source, yeah (Yeah, that's it)And I see you (Oh), the way I breathe you in (In)It's the texture of your skinI wanna wrap my arms around you, babyNever let you go, ohAnd I say, oh, there's nothing like your touchIt's the way you lift me up, yeahAnd I'll be right here with you 'til the endI got my peaches out in Georgia (Oh, yeah, shit)I get my weed from California (That's that shit)I took my chick up to the North, yeah (Badass bitch)I get my light right from the source, yeah (Yeah, that's it)You ain't sure yet, but I'm for ya'All I could want, all I can wish forNights alone that we miss moreAnd days we save as souvenirsThere's no time, I wanna make more timeAnd give you my whole lifeI left my girl, I'm in my YorkerHate to leave her, call it tortureRemember when I couldn't hold herLeft the baggage for a moverI got my peaches out in Georgia (Oh, yeah, shit) I get my weed from California (That's that shit)I took my chick up to the North, yeah (Badass bitch)I get my light right from the source, yeah (Yeah, that's it)I get the feeling, so I'm sure (Sure)Hand in my hand because I'm yoursI can't, I can't pretend, I can't ignore you're right for meDon't think you wanna know just where I've been, ohDon't be distractedThe one I need is right in my arms (Oh)Your kisses taste the sweetest with mineAnd I'll be right here with you 'til end of timeI got my peaches out in Georgia (Oh, yeah, shit)I get my weed from California (That's that shit)I took my chick up to the North, yeah (Badass bitch)I get my light right from the source, yeah (Yeah, that's it)I got my peaches out in Georgia (Oh, yeah, shit)I get my weed from California (That's that shit)I took my chick up to the North, yeah (Badass bitch)I get my light right from the source, yeah (Yeah, that's it)I got my peaches out in Georgia (Oh, yeah, shit)I get my weed from California (That's that shit)I took my chick up to the North, yeah (Badass bitch)I get my light right from the source, yeah (Yeah, that's it)I got my peaches out in Georgia (Oh, yeah, shit)I get my weed from California (That's that shit)I took my chick up to the North, yeah (Badass bitch)I get my light right from the source, yeah (Yeah, that's it)
"
13,2021-03,Love You Different,https://mojim.com//twy107945x52x13.htm,"feat. BEAM
"
14,2021-03,Loved By You,https://mojim.com//twy107945x52x14.htm,"feat. Burna Boy
"
15,2021-03,Anyone,https://mojim.com//twy107945x52x15.htm,"Dance with me under the diamondsSee me like breath in the coldSleep with me here in the silenceCome kiss me, silver and goldYou say that I won't lose youBut you can't predict the futureSo just hold on like you will never let goYeah, if you ever move on without meI need to make sure you knowThat you are the only one I'll ever love(I gotta tell you, gotta tell you)Yeah, you, if it's not you, it's not anyone(I gotta tell you, gotta tell you)Lookin' back on my life you're the only good I've ever done(Ever done)Yeah, you, if it's not you, it's not anyone(anyone) Not anyoneForever's not enough time to(No)Love you the way that I want(Love you the way that I want)'Cause every morning I find you(No)I fear the day that I don't You say that I won't lose youBut you can't predict the future'Cause certain things are out of our controlYeah, if you ever move on without meI need to make sure you knowThat you are the only one I'll ever love(Only one, I gotta tell you, gotta tell you)Yeah, you, if it's not you, it's not anyone(I gotta tell you, gotta tell you)Lookin' back on my life you're the only good I've ever done(I've ever done)Yeah, you, if it's not you, it's not anyoneIt's not anyone, not anyoneOh, oh, oh, ohif it's not you, it's not anyoneOh, oh, oh yeah, woahYeah, you are the only one I'll ever love(I gotta tell you, gotta tell you)Yeah, you, if it's not you, it's not anyone(I gotta tell you, gotta tell you)Lookin' back on my life you're the only good I've ever done(Ever done, oh, yeah)Yeah, you, if it's not you, it's not anyone
"
16,2021-03,Lonely(with benny blanco),https://mojim.com//twy107945x52x16.htm,"
"
17,2021-01,Anyone,https://mojim.com//twy107945x50x1.htm,"Dance with me under the diamondsSee me like breath in the coldSleep with me here in the silenceCome kiss me, silver and goldYou say that I won't lose youBut you can't predict the futureSo just hold on like you will never let goYeah, if you ever move on without meI need to make sure you knowThat you are the only one I'll ever love(I gotta tell you, gotta tell you)Yeah, you, if it's not you, it's not anyone(I gotta tell you, gotta tell you)Lookin' back on my life you're the only good I've ever done(Ever done)Yeah, you, if it's not you, it's not anyone(anyone) Not anyoneForever's not enough time to(No)Love you the way that I want(Love you the way that I want)'Cause every morning I find you(No)I fear the day that I don't You say that I won't lose youBut you can't predict the future'Cause certain things are out of our controlYeah, if you ever move on without meI need to make sure you knowThat you are the only one I'll ever love(Only one, I gotta tell you, gotta tell you)Yeah, you, if it's not you, it's not anyone(I gotta tell you, gotta tell you)Lookin' back on my life you're the only good I've ever done(I've ever done)Yeah, you, if it's not you, it's not anyoneIt's not anyone, not anyoneOh, oh, oh, ohif it's not you, it's not anyoneOh, oh, oh yeah, woahYeah, you are the only one I'll ever love(I gotta tell you, gotta tell you)Yeah, you, if it's not you, it's not anyone(I gotta tell you, gotta tell you)Lookin' back on my life you're the only good I've ever done(Ever done, oh, yeah)Yeah, you, if it's not you, it's not anyone
"
18,2020-09,Holy,https://mojim.com//twy107945x49x1.htm,"I hear a lot about sinnersDon't think that I'll be a saintBut I might go down to the river'Cause the way that the sky opens up when we touchYeah, it's making me say That the way you hold me, hold me, hold me, hold me, hold meFeels so holy, holy, holy, holy, holyOn GodRunnin' to the altar like a track starCan't wait another second'Cause the way you hold me, hold me, hold me, hold me, hold meFeels so holy I don't do well with the dramaAnd, no, I can't stand it being fake(No, no, no, no, no, no, no, no)I don't believe in nirvanaBut the way that we love in the night gave me lifeBaby, I can't explain That the way you hold me, hold me, hold me, hold me, hold meFeels so holy, holy, holy, holy, holyOn GodRunnin' to the altar like a track starCan't wait another second'Cause the way you hold me, hold me, hold me, hold me, hold meFeels so holy They say we're too young andThe pimps and the players say, 'Don't go crushin''Wise men say fools rush inBut I don't know (Ah-ah-ah-ah)They say we're too young andThe pimps and the players say, 'Don't go crushin''Wise men say fools rush inBut I don't know (Chance the Rapper)  The first step pleases the FatherMight be the hardest to takeBut when you come out of the waterI'm a believer, my heart is fleshyLife is short with a temper like Joe PesciThey always come and sing your praises, your name is catchyBut they don't see you how I see you, Parlay and DesiCross, Tween, Tween, Hesi' hit the jet speedWhen they get messy, go lefty like Lionel MessiLet's take a trip and get the Vespas or rent a jetskiI know the spots that got the best weed, we goin' next weekI wanna honor, wanna honor youBride's groom, I'm my father's childI know when the son takes the first steps, the Father's proud (Yes)If you make it to the water, He'll part the clouds (Uh)I know He made you a snack like Oscar Proud (Mwah)Suffer it to be so now gotta clean it up (Ooh)Formalize the union in communion, He can trust (Woo)I know I ain't leavin' you like I know He ain't leavin' us (Ah)I know we believe in God, and I know God believes in us 'Cause the way you hold me, hold me, hold me, hold me, hold meFeels so holy, holy, holy, holy, holyOn GodRunnin' to the altar like a track starCan't wait another second, on GodRunnin' to the altar like a track starCan't wait another second, on GodRunnin' to the altar like a track starCan't wait another second'Cause the way you hold me, hold me, hold me, hold meFeels so ho-ho-ho-holy
"
19,2020-02,All Around Me,https://mojim.com//twy107945x48x1.htm,"Not sure what I was doing before yaI quit tryna figure it outNothin' like havin' someone for youSomeone beside you when it's time to lay downFully committed, you're here for the stay downLook in the mirror, you right for the takedownRoom for you in my coupe, let me open up the doorOpen up my eyes to a feelin' I can't ignoreI need you all around meOh yeah, yeah, yeah, yeahI need you all around meWouldn't wanna be in any other placeFrom my home to the roadI'll make sure you're comfortableYou make sure I'm comfortableOur love's unconditionalI need you all around meAll around me, yeahNever thought I could ever be loyal To someone other than myselfI never thought I could ever be a spoilerGuess anything is possible with your helpAnything's possible since you made my heart meltGave me the best hand that I'd ever been dealtRoom for you in my coupe, let me open up the doorOpen up my eyes to a feelin' I can't ignoreI need you all around me, yeahOh yeah, yeah, yeah, yeahI need you all around meWouldn't wanna be in any other placeFrom my home to the roadI'll make sure you're comfortableYou make sure I'm comfortableOur love's unconditionalI need you all around meAll around me, yeah, yeah, yeah
"
